,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Length
0,0.012673891047977316,0.01267304488288128,0.87326310936328,0.012673834046466966,0.01267372501269759,0.012673088602017437,0.01267304487743815,0.012673895864676077,0.01267304487791176,0.012673044879752822,0.012676276544900564,341.0
1,0.014407389632305432,0.014407115889655762,0.8559214638167094,0.01440949434549185,0.014407935144133617,0.01440738022944551,0.014407115885558184,0.014408944367123146,0.014407115886684602,0.014407115886586141,0.014408928916306246,335.0
2,0.011484294221291652,0.011480838683465739,0.011482836618557424,0.01148214297700345,0.011482892249656821,0.011480900719578087,0.011480838679559213,0.73519724702589,0.01148083868044265,0.011480838680486435,0.16146633146406864,382.0
3,0.013693995119491535,0.013693852475748882,0.6245176310223466,0.01369732469708308,0.013695640843288599,0.013703501780361248,0.013693852467218654,0.013697782564151,0.013693852469912787,0.013693852470463251,0.25221871408993446,372.0
4,0.011252418696539476,0.011252046539013433,0.43691605015427415,0.011253114431512055,0.011253258302082552,0.01125290895615459,0.011252046532268897,0.011253749571040365,0.011252046533127695,0.011252046534456646,0.46181031374953024,449.0
5,0.00711551842531796,0.007111704356158731,0.9288718623785269,0.0071123734706614,0.007115018641577088,0.007111796805817092,0.007111704347411846,0.007112881418119356,0.007111704348344518,0.007111704348569708,0.007113731459495428,1913.0
6,0.00711551842531796,0.007111704356158731,0.9288718623785269,0.0071123734706614,0.007115018641577088,0.007111796805817092,0.007111704347411846,0.007112881418119356,0.007111704348344518,0.007111704348569708,0.007113731459495428,1915.0
7,0.012825510501809025,0.012817488759285456,0.012819514192563096,0.01281890275386592,0.8718109509603001,0.012817488593291024,0.012817488747700001,0.01281943590283618,0.01281748874981948,0.012817488751825052,0.012818242086704627,386.0
8,0.014622356311688916,0.01462079130752117,0.014621995911384338,0.014621352287159798,0.8537869025642075,0.014620791172970079,0.01462079130306662,0.014621937078813037,0.014620791303651648,0.014620791306179872,0.014621499453357015,481.0
9,0.009203918686902573,0.00920206664898317,0.90796630786116,0.009202707236103053,0.009202759956495849,0.009203115032040955,0.009202066644529957,0.009203359382317176,0.009202066644770699,0.009202066645082066,0.009209565261614478,802.0
10,0.00920477410638191,0.009204587677827333,0.009206316592538897,0.009205517198191581,0.009205858902082566,0.009204613492549847,0.009204587672550448,0.9079470446994639,0.009204587673162196,0.009204587673277071,0.009207524311974323,814.0
11,0.014010961594673101,0.014009358781481279,0.014012292709936362,0.014010631036912441,0.014010761080176518,0.01400989822002879,0.014009358773080982,0.7522981043687095,0.014009358774198098,0.014009358774733173,0.12160991588606979,857.0
12,0.015967644338622404,0.01596737974237448,0.015968982117162647,0.015968792822524887,0.015970786783501813,0.015969269989620442,0.01596737973798837,0.8403170809428028,0.015967379741005185,0.015967379740782786,0.015967924043614055,564.0
13,0.009072323661130872,0.009071053185401483,0.009072239801141547,0.00907171206540055,0.009072374370721167,0.009071078097573057,0.009071053181504722,0.9092842833157877,0.009071053182179992,0.009071053183123914,0.009071775956034945,888.0
14,0.0093594320632993,0.009357846733756106,0.009358746242906191,0.009358543905483099,0.009359675738060357,0.009357897654132079,0.009357846730236439,0.906415512538299,0.009357846730888547,0.009357846733003565,0.00935880492993531,1183.0
15,0.00945897965686698,0.009457908540801014,0.009458939478310637,0.00946006861451336,0.009458990744081087,0.009457952755861981,0.009457908536517689,0.905413821900636,0.009457908539639931,0.009457908537543486,0.009459612695227923,823.0
16,0.010138906046403112,0.010138729401966298,0.010139854046676016,0.010139561055828857,0.01013987393299374,0.010138920101787872,0.010138729397651975,0.8986080418655911,0.010138729398593385,0.010138729398721279,0.010139925353786182,935.0
17,0.01203403814704369,0.012033649011221309,0.01203458037818527,0.012034284299157164,0.012034896141415247,0.012035357098407504,0.012033649008012844,0.8796580502141335,0.012033649009017848,0.01203364900937437,0.012034197684031352,1143.0
18,0.011828622280626888,0.011827262348341793,0.01182996808942443,0.011828298613464808,0.01182884600737581,0.01182813575543573,0.011827262341488327,0.8817186202555799,0.011827262343138321,0.01182726234493742,0.011828459620186568,585.0
19,0.011059700357026124,0.011058892353003188,0.011059926811987246,0.011059596640546749,0.011060187273538961,0.011058946361626432,0.011058892347221775,0.8894040812695652,0.01105889234942851,0.011058892349044593,0.0110619918870113,685.0
20,0.22266282606586263,0.007436460574888647,0.34095394578631577,0.007437198661570046,0.00743739094488884,0.007436497061155741,0.007436460571431962,0.37688892870850055,0.007436460572074365,0.007436460573002821,0.007437370480308605,2330.0
21,0.29577818426815744,0.009400259903944158,0.009402245764659856,0.009401310161446802,0.009401070759333179,0.009400392216374055,0.009400259899580668,0.6196138869238245,0.00940025990005946,0.009400259901591648,0.009401870301028353,1210.0
22,0.013578232669792507,0.013573429847622954,0.4978585774264343,0.013574627680497922,0.013574478289963525,0.013573429657039563,0.013573429835590194,0.013574908511056203,0.013573429836136708,0.013573429838795942,0.3799720264070701,198.0
23,0.016125520968835478,0.016125260418743535,0.47057000184184344,0.01612652133264255,0.016160887114187342,0.016125259722730358,0.01612526040171713,0.016128141492621227,0.01612526040262053,0.01612526040283198,0.3842626259012264,149.0
24,0.011711766689486005,0.011710031299218748,0.8828886899247109,0.011710654351553607,0.011715261252884331,0.011710031148226139,0.011710031288110788,0.011711506884111175,0.01171003128852334,0.011710031289697284,0.01171196458347769,216.0
25,0.013601547009322533,0.013601412580633706,0.3028913954002107,0.013602657888033588,0.013603765430323407,0.013601576376531763,0.013601412573908058,0.013603688608088608,0.01360141257457154,0.013601412577297571,0.5746897189810786,391.0
26,0.2056348588095566,0.012500547982464291,0.6818466254066976,0.012501575090236005,0.01250651693480035,0.012502068211399025,0.012500547967076246,0.012502551754170609,0.012500547969596513,0.012500547968727085,0.012503611905275502,209.0
27,0.01471164883328778,0.014711328768063135,0.1685987738619255,0.01471287832921301,0.01471375175354508,0.014711328527150114,0.014711328760578747,0.01471383232998476,0.014711328761333773,0.014711328763573566,0.6989924713113446,446.0
28,0.011494355749262707,0.011493955634148786,0.011500523267748697,0.011494873445976704,0.4006110505350082,0.011494186008116193,0.011493955628353016,0.49593369082601524,0.011493955626532597,0.011493955625950928,0.011495497652886752,563.0
29,0.0087910454399342,0.008790851675989673,0.00879227878711911,0.00879175483093092,0.477881152183445,0.008791774975314663,0.008790851672150919,0.44299635580026175,0.008790851673260092,0.008790851673562016,0.008792231288031716,565.0
30,0.012325149251421998,0.012324212801160589,0.012326340460693525,0.012346183463594137,0.8767216595773552,0.012324211927485184,0.012324212796946442,0.012333915145826152,0.012324212799359548,0.012324212801289503,0.012325688974867717,449.0
